year,species,lc.doy,lf.doy,sd.lc.doy,sd.lf.doy
2014,AMSP,271,278,0.957706734865804,1.79820827981847
2015,AMSP,281,291,8.79363502878619,5.80980224406152
2016,AMSP,280,290,7.38668787392765,5.40714404416595
2017,AMSP,276,286,6.5456429235674,7.93274820432198
2018,AMSP,276,285,7.37309245934997,8.00889532825316
2019,AMSP,277,287,4.78369464803072,1.31228191462562
2020,AMSP,279,288,0.561198814651769,1.03576242769255
2021,AMSP,282,289,2.26183578850007,7.79487913201314
2022,AMSP,280,289,5.30691746970495,3.19224016213555
2023,AMSP,282,291,2.67971682708141,2.35409589765259
1991,ARSP,274,283,4.64093983676391,1.18130811319641
1992,ARSP,282,285,2.86148010644479,3.58108826018792
1993,ARSP,275,281,5.72864028838215,4.93290076955911
1994,ARSP,278,289,1.81790033509365,4.63802434202971
1995,ARSP,277,283,6.76786244359975,8.091085050415
1996,ARSP,283,291,1.48717690642245,3.91127576595205
1997,ARSP,280,299,6.02290165111146,5.17408030193536
1998,ARSP,283,300,7.68387324126015,6.79684501976275
1999,ARSP,286,293,6.75256164769328,7.34846219744804
2000,ARSP,284,298,15.0091434813824,9.05587597683247
2001,ARSP,286,292,7.56066745962336,7.98004398182597
1991,BEAL,268,278,3.50489909331845,6.75190232615117
1992,BEAL,275,285,6.76821015473934,11.515959586949
1993,BEAL,272,279,6.82705336771521,7.89593223985977
1994,BEAL,267,277,2.70202807836076,3.39140734203001
1995,BEAL,269,277,7.49853014791192,9.47286680158741
1996,BEAL,275,285,7.87534892236091,10.5097989557201
1997,BEAL,274,283,0,0
1998,BEAL,273,281,4.92725006026686,11.9968931636417
1999,BEAL,277,287,2.70744257628296,4.48064046830229
2000,BEAL,273,282,5.74702445064397,6.19243980579334
2001,BEAL,273,282,1.51451167768654,1.62177853862567
2002,BEAL,281,290,13.7886405697388,13.3894166915632
2003,BEAL,277,286,7.13571035045732,3.83529634659277
2004,BEAL,274,283,8.09825490535372,6.65535039851826
2005,BEAL,279,287,5.10000270601222,3.34762315013708
2006,BEAL,269,276,6.07589439011684,9.23190825665094
2007,BEAL,270,280,0,2.14955693411681
2008,BEAL,274,283,16.1305395237891,6.29145948923701
2009,BEAL,271,280,9.81498344388143,2.71664915076305
2010,BEAL,272,282,5.97755421708638,11.5835424199811
2011,BEAL,274,283,2.46183641979095,5.92211696997723
2012,BEAL,273,281,13.5049139620316,15.6096447675245
2013,BEAL,270,280,6.56465759950776,6.39132126657996
2014,BEAL,274,281,6.38703051456432,3.74215014588499
2015,BEAL,280,288,4.03369919449695,4.6048422937603
2016,BEAL,283,291,3.27635804481293,3.02973501417556
2017,BEAL,276,286,0.692243322328697,0.850452184595704
2018,BEAL,278,287,2.93648576517849,2.11294072868406
2019,BEAL,272,284,3.60064452189614,2.0205997896643
2020,BEAL,276,287,3.37149410722694,3.23111270250002
2021,BEAL,276,286,4.41018508267072,4.32478318869614
2022,BEAL,277,286,5.90067727336962,3.10951054675276
2023,BEAL,278,287,2.47502045954367,3.60806574667213
1991,BELE,278,286,2.7932844528011,1.29138103281258
1992,BELE,282,285,5.01090680340651,5.66004355280101
1993,BELE,275,281,7.12707366566579,6.74551312728401
1994,BELE,272,283,3.66169189697858,2.72374305601875
1995,BELE,273,282,3.76670053728611,6.11074109014251
1996,BELE,281,289,2.78847674401982,4.29407765288442
1997,BELE,279,287,10.2735002857421,13.6798540701088
1998,BELE,276,286,4.43096114479797,4.29567796100493
1999,BELE,280,289,4.13412978536258,5.32904223295655
2000,BELE,280,288,4.09331989734704,5.71432767851056
2001,BELE,280,288,2.4184154339779,2.11396056985013
2002,BELE,285,293,8.54578173293868,9.83173255495863
2003,BELE,282,290,2.59348798555269,2.10164402056435
2004,BELE,282,289,8.80272642500585,6.75978646675053
2005,BELE,280,290,3.49274681048752,3.2480098321585
2006,BELE,274,282,4.99090270691593,3.86808167529341
2007,BELE,278,291,3.11276077729844,3.0414141453569
2008,BELE,277,288,4.73632951398233,3.74181908873
2009,BELE,275,286,1.76171962806694,3.39395300501352
2010,BELE,276,290,4.1241670533034,8.43848647276725
2011,BELE,280,289,3.8025949426911,0.137664976026273
2012,BELE,278,287,2.60808238499103,3.62418921650711
2013,BELE,276,285,5.90307471244397,7.68238744830343
2014,BELE,278,286,3.52024801333137,2.84963669551838
2015,BELE,282,291,5.47929176392946,9.74989369486631
2016,BELE,278,293,0.97950187258128,0.49366364790737
2017,BELE,284,293,1.59109013700196,2.63988322989113
2018,BELE,282,291,2.78162851720062,1.22312998641421
2019,BELE,281,290,2.94323451697041,2.99729142811629
2020,BELE,281,293,2.88455378118583,4.82737631180623
2021,BELE,281,291,3.46574270511352,5.41991025272825
2022,BELE,279,288,5.79161151700251,6.44616831890047
2023,BELE,278,291,33.6758247772173,14.9545452732862
1991,BEPA,278,288,2.72302949784539,2.69551337247195
1992,BEPA,275,288,11.3094407934626,12.5893861455582
1993,BEPA,276,288,8.5229606011311,9.38762561572603
1994,BEPA,274,284,2.92732007089198,1.04404525916157
1995,BEPA,272,285,2.69159372323099,2.45900972283763
1996,BEPA,281,288,2.4747962137891,9.55938342820839
1997,BEPA,281,289,2.84035331180841,9.79983231251984
1998,BEPA,270,278,1.4176030077532,1.40000950517326
1999,BEPA,282,290,4.00366134178649,7.3167934060456
2000,BEPA,277,283,3.93210032058581,3.11609665805092
2001,BEPA,285,291,1.24552270326394,1.25770813955707
2002,BEPA,286,294,18.3846914576122,10.950996262014
2003,BEPA,279,285,0.139757147742475,0.360611013870577
2004,BEPA,279,285,7.69501729297536,12.7925620957134
2005,BEPA,274,277,6.98943127442405,5.69760620882955
2006,BEPA,263,265,2.35575759729351,8.13344861696541
2007,BEPA,284,290,2.98756971150682,3.54178275912886
